expiration,strike,type_call,last_call,mark_call,bid_call,bid_size_call,ask_call,ask_size_call,volume_call,open_interest_call,date_call,implied_volatility_call,delta_call,gamma_call,theta_call,vega_call,rho_call,week_call,type_put,last_put,mark_put,bid_put,bid_size_put,ask_put,ask_size_put,volume_put,open_interest_put,date_put,implied_volatility_put,delta_put,gamma_put,theta_put,vega_put,rho_put,week_put,open_interest_diff
2020-03-20,327.0,call,10.13,10.29,10.27,20,10.32,72,838,13310,2020-02-21,0.17166,0.67796,0.02262,-0.11086,0.33118,0.16554,2020-02-15/2020-02-21,put,3.64,3.68,3.67,207,3.69,60,15098,41925,2020-02-21,0.17974,-0.32873,0.02178,-0.10229,0.33398,-0.08692,2020-02-15/2020-02-21,-2.58001648996518
2020-03-20,328.0,call,9.6,9.52,9.5,20,9.54,20,507,26466,2020-02-21,0.16815,0.65729,0.02366,-0.111,0.33945,0.16084,2020-02-15/2020-02-21,put,3.92,3.93,3.92,204,3.94,119,8567,20614,2020-02-21,0.17654,-0.34897,0.02269,-0.10253,0.34175,-0.09229,2020-02-15/2020-02-21,0.48354611218814336
2020-03-20,330.0,call,8.05,8.02,8.0,30,8.03,40,4837,81076,2020-02-21,0.16053,0.61234,0.02583,-0.1099,0.35377,0.1505,2020-02-15/2020-02-21,put,4.47,4.47,4.47,5,4.48,1,13832,92048,2020-02-21,0.16983,-0.39269,0.02451,-0.10182,0.35507,-0.10389,2020-02-15/2020-02-21,-1.0118372173336463
2020-03-20,331.0,call,7.34,7.29,7.26,48,7.31,115,3269,17275,2020-02-21,0.15626,0.58789,0.02697,-0.10849,0.3595,0.1448,2020-02-15/2020-02-21,put,4.75,4.78,4.77,5,4.79,66,3573,22522,2020-02-21,0.16663,-0.41641,0.02535,-0.10101,0.36036,-0.11019,2020-02-15/2020-02-21,-0.5029766870488004
2020-03-20,333.0,call,5.9,5.89,5.87,48,5.91,102,5647,33691,2020-02-21,0.14773,0.53398,0.02913,-0.1043,0.36714,0.13209,2020-02-15/2020-02-21,put,5.38,5.46,5.45,90,5.46,50,12338,14508,2020-02-21,0.16007,-0.46733,0.02689,-0.09799,0.36724,-0.12374,2020-02-15/2020-02-21,1.6684578552846112
2020-03-20,334.0,call,5.23,5.23,5.22,50,5.25,144,7695,30222,2020-02-21,0.14346,0.50445,0.03011,-0.10144,0.36846,0.12504,2020-02-15/2020-02-21,put,5.75,5.83,5.82,5,5.85,112,5854,15232,2020-02-21,0.15657,-0.49453,0.02758,-0.09562,0.36844,-0.13098,2020-02-15/2020-02-21,1.2957675140646359
2020-03-20,335.0,call,4.6,4.6,4.58,63,4.62,227,7299,107835,2020-02-21,0.13919,0.47319,0.03096,-0.09801,0.36765,0.11752,2020-02-15/2020-02-21,put,6.23,6.24,6.22,5,6.26,135,5762,27825,2020-02-21,0.15352,-0.5228,0.02809,-0.09303,0.36788,-0.13853,2020-02-15/2020-02-21,7.075000995133748
2020-03-20,336.0,call,4.0,4.0,3.98,50,4.01,169,9018,17754,2020-02-21,0.13492,0.44025,0.03165,-0.09396,0.36434,0.10955,2020-02-15/2020-02-21,put,6.63,6.68,6.62,5,6.73,5,1199,8008,2020-02-21,0.15047,-0.552,0.02846,-0.08991,0.36534,-0.14634,2020-02-15/2020-02-21,0.8296601567172593
2020-03-20,337.0,call,3.45,3.42,3.41,50,3.44,274,6108,18440,2020-02-21,0.1302,0.40534,0.03224,-0.08895,0.35806,0.10107,2020-02-15/2020-02-21,put,7.12,7.15,7.1,5,7.2,5,1978,9427,2020-02-21,0.14727,-0.58212,0.02871,-0.08613,0.36064,-0.1544,2020-02-15/2020-02-21,0.7645082320537149
2020-03-20,338.0,call,2.91,2.88,2.87,152,2.9,60,6430,31701,2020-02-21,0.12547,0.36875,0.03254,-0.08325,0.34835,0.09212,2020-02-15/2020-02-21,put,7.79,7.67,7.61,5,7.73,5,548,8641,2020-02-21,0.14468,-0.61244,0.02866,-0.08222,0.35374,-0.16256,2020-02-15/2020-02-21,2.0130608729115713
